Rank,Name,Team,Position,Salary
,Mark Giordano,TOR,D,800000
,Michael Eyssimont,TBL,C,800000
,Patrick Brown,BOS,LW,800000
,Pontus Holmberg,TOR,RW,800000
,Reese Johnson,CHI,RW,800000
,Ryan Lomberg,FLA,LW,800000
,Samuel Bolduc,NYI,D,800000
,Thomas Novak,NSH,C,800000
,Travis Dermott,ARI,D,800000
,Tyler Motte,TBL,C,800000
,Tyler Tucker,STL,D,800000
,Yegor Chinakhov,CBJ,RW,800000
694,Luke Evangelista,NSH,RW,797500
695,Nicholas Robertson,TOR,LW,796667
696,Aliaksei Protas,WAS,C,789167
,Nikita Okhotyuk,CGY,D,789167
698,Jakub Lauko,BOS,C,787500
,Joel Hanley,CGY,D,787500
700,Austin Watson,TBL,LW,776665
701,Alexander Nylander,CBJ,RW,775000
,Ben Meyers,ANA,LW,775000
,Benoit-Olivier Groulx,ANA,C,775000
,Brayden Pachal,CGY,D,775000
,Brett Leason,ANA,RW,775000
,Caleb Jones,COL,D,775000
,Calvin de Haan,TBL,D,775000
,Carson Meyer,CBJ,RW,775000
,Chris Tierney,NJD,C,775000
,Cole Smith,NSH,LW,775000
,Colin White,MTL,C,775000
,Connor Brown,EDM,RW,775000
,Corey Perry,EDM,RW,775000
,Dakota Mermis,MIN,D,775000
,Danton Heinen,BOS,C,775000
,David Gustafsson,WPG,C,775000
,Declan Chisholm,MIN,D,775000
,Devin Cooley,SJS,G,775000
,Dryden Hunt,CGY,LW,775000
,Dylan McIlrath,WAS,D,775000
,Egor Sokolov,OTT,LW,775000
,Hudson Fasching,NYI,RW,775000
,Jack Johnson,COL,D,775000
,Jacob Lucchini,MIN,C,775000
,Jaret Anderson-Dolan,NSH,C,775000
,Jayson Megna,BOS,C,775000
,Jesper Boqvist,BOS,C,775000
,Jesse Ylönen,MTL,RW,775000
,Joel Hofer,STL,G,775000
,Joel Kiviranta,COL,LW,775000
,John Ludvig,PIT,D,775000
,Jonas Johansson,TBL,G,775000
,Justin Bailey,SJS,RW,775000
,Justin Brazeau,BOS,RW,775000
,Justus Annunen,COL,G,775000
,Kale Clague,BUF,D,775000
,Kiefer Sherwood,NSH,LW,775000
,Liam O'Brien,ARI,C,775000
,Logan Brown,TBL,C,775000
,Mark Friedman,VAN,D,775000
,Mark Jankowski,NSH,C,775000
,Martin Pospisil,CGY,C,775000
,Mason Shaw,MIN,C,775000
,Matt Tomkins,TBL,G,775000
,Michael Carcone,ARI,RW,775000
,Michael McCarron,NSH,RW,775000
,Michael Sgarbossa,WAS,C,775000
,Mitchell Chaffee,TBL,RW,775000
,Nathan Walker,STL,LW,775000
,Nick Seeler,PHI,D,775000
,Noah Gregor,TOR,C,775000
,Noah Juulsen,VAN,D,775000
,Oskar Sundqvist,STL,C,775000
,Parker Wotherspoon,BOS,D,775000
,Paul Cotter,VGK,C,775000
,Phillip di Giuseppe,VAN,LW,775000
,Pierre-Edouard Bellemare,SEA,LW,775000
,Ryan Carpenter,SJS,C,775000
,Sam Gagner,EDM,C,775000
,Scott Perunovich,STL,D,775000
,Shane Pinto,OTT,C,775000
,Simon Benoit,TOR,D,775000
,Tobias Bjornfot,FLA,D,775000
,Trevor Lewis,LAK,C,775000
,Trey Fix-Wolansky,CBJ,RW,775000
,Ty Emberson,SJS,D,775000
,Valtteri Puustinen,PIT,LW,775000
,Vinni Lettieri,MIN,C,775000
,William Lagesson,ANA,D,775000
,Yegor Zamula,PHI,D,775000
,Zack MacEwen,OTT,C,775000
772,Jonas Rondbjerg,VGK,RW,766667
773,Johnathan Kovacevic,MTL,D,766666
,Joseph Woll,TOR,G,766666
,Logan Thompson,VGK,G,766666
776,A.J. Greer,CGY,LW,762500
,Beck Malenstyn,WAS,LW,762500
,Bobby McMann,TOR,C,762500
,Brendan Gaunce,CBJ,C,762500
,Calvin Pickard,EDM,G,762500
,Chris Wideman,MTL,D,762500
,Daniil Miromanov,CGY,D,762500
,Darren Raddysh,TBL,D,762500
,Dennis Gilbert,CGY,D,762500
,Haydn Fleury,TBL,D,762500
,Jack Studnicka,SJS,C,762500
,Jacob MacDonald,SJS,D,762500
,Jacob Moverare,LAK,D,762500
,Jalen Chatfield,CAR,D,762500
,Jaycob Megna,CHI,D,762500
,Jonny Brodzinski,NYR,C,762500
,Lucas Johansen,WAS,D,762500
,Michael Amadio,VGK,C,762500
,Nick DeSimone,NJD,D,762500
,Parker Kelly,OTT,C,762500
,Spencer Martin,CAR,G,762500
,Stefan Noesen,CAR,RW,762500
,Vincent Desharnais,EDM,D,762500
799,Boris Katchouk,OTT,LW,758333
,Taylor Raddysh,CHI,RW,758333
801,Ville Heinola,WPG,D,224000
