Rank,Name,Team,Position,Salary
,Trevor Zegras,ANA,C,5750000
156,Anthony Mantha,VGK,RW,5700000
157,Igor Shesterkin,NYR,G,5666667
158,Andrew Copp,DET,C,5625000
,Jacob Muzzin,TOR,D,5625000
,Vincent Trocheck,NYR,C,5625000
161,Adrian Kempe,LAK,LW,5500000
,Andre Burakovsky,SEA,LW,5500000
,Andrei Kuzmenko,CGY,LW,5500000
,Jaden Schwartz,SEA,LW,5500000
,Jordan Eberle,SEA,RW,5500000
,Josh Anderson,MTL,RW,5500000
,Phillip Danault,LAK,C,5500000
,Travis Konecny,PHI,C,5500000
,Tyler Bertuzzi,TOR,LW,5500000
,Zach Hyman,EDM,C,5500000
171,Elvis Merzlikins,CBJ,G,5400000
,Oliver Bjorkstrand,SEA,RW,5400000
,Teuvo Teravainen,CAR,C,5400000
174,Tristan Jarry,PIT,G,5375000
175,Mikael Backlund,CGY,C,5350000
176,Jaccob Slavin,CAR,D,5300000
,Jason Zucker,NSH,LW,5300000
178,Bryan Little,ARI,C,5291000
179,Alec Martinez,VGK,D,5250000
,Brady Skjei,CAR,D,5250000
,Charlie Coyle,BOS,C,5250000
,Darcy Kuemper,WAS,G,5250000
,Jakob Silfverberg,ANA,RW,5250000
,Joel Eriksson Ek,MIN,C,5250000
185,Erik Cernak,TBL,D,5200000
,Shea Theodore,VGK,D,5200000
187,Thomas Wilson,WAS,RW,5166668
188,Yanni Gourde,SEA,C,5166666
189,Bryan Rust,PIT,RW,5125000
,Evander Kane,EDM,LW,5125000
,Ryan Nugent-Hopkins,EDM,C,5125000
192,J.T Compher,DET,C,5100000
,Rasmus Ristolainen,PHI,D,5100000
194,Dylan Strome,WAS,C,5000000
,Ivan Barbashev,VGK,C,5000000
,Jared McCann,SEA,LW,5000000
,Jean-Gabriel Pageau,NYI,C,5000000
,Joel Farabee,PHI,LW,5000000
,Jonathan Marchessault,VGK,C,5000000
,Juuse Saros,NSH,G,5000000
,Kyle Palmieri,NYI,RW,5000000
,Linus Ullmark,BOS,G,5000000
,Mikael Granlund,SJS,C,5000000
,Reilly Smith,PIT,RW,5000000
,Rickard Rakell,PIT,C,5000000
,Robin Lehner,VGK,G,5000000
,Ryan Strome,ANA,C,5000000
,Samuel Girard,COL,D,5000000
,T.J. Brodie,TOR,D,5000000
,Thatcher Demko,VAN,G,5000000
,Tyler Johnson,CHI,C,5000000
,Vladimir Tarasenko,FLA,RW,5000000
213,Drake Batherson,OTT,C,4975000
214,Conor Garland,VAN,RW,4950000
,Noah Hanifin,VGK,D,4950000
216,Adin Hill,VGK,G,4900000
,Blake Coleman,CGY,C,4900000
218,Michael Matheson,MTL,D,4875000
219,Elias Lindholm,VAN,C,4850000
220,Jesperi Kotkaniemi,CAR,C,4820000
221,Alex Tuch,BUF,RW,4750000
,Ben Chiarot,DET,D,4750000
,David Perron,DET,LW,4750000
,Ilya Mikheyev,VAN,LW,4750000
,Pavel Zacha,BOS,C,4750000
,Victor Olofsson,BUF,RW,4750000
,Ville Husso,DET,G,4750000
228,Kevin Labanc,SJS,RW,4725000
229,Artem Zub,OTT,D,4600000
,Jakob Chychrun,OTT,D,4600000
,Jamie Oleksiak,SEA,D,4600000
232,Rasmus Andersson,CGY,D,4550000
233,Alexander Wennberg,NYR,C,4500000
,Artturi Lehkonen,COL,LW,4500000
,Brandon Saad,STL,LW,4500000
,Chris Tanev,DAL,D,4500000
,Josh Manson,COL,D,4500000
,Mason Marchment,DAL,LW,4500000
,Michael Bunting,PIT,LW,4500000
,Mike Hoffman,SJS,LW,4500000
,Nikita Zaitsev,CHI,D,4500000
,Ryan Graves,PIT,D,4500000
,Ryan O'Reilly,NSH,C,4500000
